id,name,state,climate_region,climate_division,country,lat,lon
69002,HUNTER_LIGGET/TUSI,CA,W,92,US,36,-121.23
69007,FORT_ORD/FRITZSCHE,CA,W,92,US,36.68,-121.77
69008,CAMP_ROBERTS,CA,W,92,US,35.75,-120.7
69012,EGLIN_AFB_RNG_C52A,FL,SE,69,US,30.52,-86.3
69013,FALCON_RANGE,OK,S,54,US,34.65,-98.68
69014,EL_TORO_MCAS,CA,W,93,US,33.67,-117.73
69016,TUSTIN_MCAS,CA,W,93,US,33.7,-117.83
69017,IND_SPRNG_RANGE_63,NV,W,95,US,36.53,-115.57
69019,DYESS_AFB/ABILENE,TX,S,54,US,32.43,-99.85
72202,MIAMI,FL,SE,68,US,25.8,-80.28
72203,WEST PALM BEACH,FL,SE,68,US,26.68,-80.1
72204,VERO BEACH,FL,SE,67,US,27.65,-80.41
72205,ORLANDO,FL,SE,67,US,28.43,-81.32
72206,JACKSONVILLE,FL,SE,66,US,30.5,-81.69
72207,SAVANNAH,GA,SE,66,US,32.13,-81.2
72208,CHARLESTON,SC,SE,12,US,32.9,-80.03
72210,TAMPA BAY AREA,FL,SE,67,US,27.7,-82.4
72211,TAMPA,FL,SE,67,US,27.97,-82.53
72212,CROSS CITY,FL,SE,66,US,29.62,-83.1
72213,WAYCROSS/WARE C,GA,SE,66,US,31.25,-82.4
72214,TALLAHASSEE,FL,SE,69,US,30.38,-84.37
72215,PEACHTREE CITY,GA,SE,56,US,33.36,-84.56
72217,MACON,GA,SE,56,US,32.7,-83.65
72218,AUGUSTA,GA,SE,56,US,33.37,-81.97
72219,ATLANTA,GA,SE,56,US,33.65,-84.43
72220,APALACHICOLA,FL,SE,69,US,29.73,-85.03
72221,CRESTVIEW,FL,SE,69,US,30.78,-86.51
72222,PENSACOLA,FL,SE,69,US,30.47,-87.2
72223,MOBILE,AL,SE,69,US,30.68,-88.25
72225,COLUMBUS METRO ARPT,GA,SE,56,US,32.51,-84.93
72226,MONTGOMERY,AL,SE,57,US,32.3,-86.4
72228,BIRMINGHAM,AL,SE,57,US,33.57,-86.75
72229,CENTREVILLE WSM,AL,SE,57,US,32.9,-87.25
72230,SHELBY CO AIRPT,AL,SE,57,US,33.17,-86.77
72231,NEW ORLEANS/MOISANT,LA,S,70,US,29.98,-90.25
72232,BOOTHVILLE,LA,S,70,US,29.33,-89.4
72233,SLIDELL,LA,S,70,US,30.25,-89.77
72234,MERIDIAN,MS,S,58,US,32.33,-88.75
72235,JACKSON,MS,S,58,US,32.32,-90.08
72239,FORT POLK (ARMY,LA,S,71,US,31.05,-93.2
72240,LAKE CHARLES,LA,S,71,US,30.13,-93.22
72242,GALVESTON,TX,S,71,US,29.3,-94.8
72243,HOUSTON,TX,S,71,US,29.97,-95.35
72247,LONGVIEW,TX,S,60,US,32.35,-94.65
72248,SHREVEPORT,LA,S,59,US,32.47,-93.82
72249,FORT WORTH,TX,S,61,US,32.79,-97.3
72250,BROWNSVILLE,TX,S,63,US,25.9,-97.43
72251,CORPUS CHRISTI,TX,S,62,US,27.77,-97.5
72252,LAREDO,TX,S,63,US,27.53,-99.47
72253,SAN ANTONIO,TX,S,62,US,29.53,-98.47
72254,AUSTIN,TX,S,62,US,30.3,-97.7
72255,VICTORIA,TX,S,71,US,28.85,-96.92
72256,WACO,TX,S,61,US,31.62,-97.23
72257,FT HOOD AAF/KIL,TX,S,61,US,31.15,-97.72
72258,PARIS,TX,S,61,US,33.63,-95.45
72259,DALLAS-FORT WORTH,TX,S,61,US,32.9,-97.03
72260,STEPHENVILLE,TX,S,61,US,32.22,-98.18
72261,DEL RIO,TX,S,64,US,29.37,-100.92
72262,GUADALUPE PASS,TX,S,65,US,31.83,-104.8
