X,Y,FID
617703.94,3704705.37,0
617703.94,3703705.37,1
617703.94,3702705.37,2
617703.94,3701705.37,3
617703.94,3700705.37,4
617703.94,3699705.37,5
617703.94,3698705.37,6
617703.94,3697705.37,7
617703.94,3696705.37,8
617703.94,3695705.37,9
617703.94,3694705.37,10
617703.94,3693705.37,11
617703.94,3692705.37,12
617703.94,3691705.37,13
617703.94,3690705.37,14
617703.94,3689705.37,15
617703.94,3688705.37,16
617703.94,3687705.37,17
617703.94,3686705.37,18
617703.94,3685705.37,19
617703.94,3684705.37,20
617703.94,3683705.37,21
617703.94,3682705.37,22
617703.94,3681705.37,23
617703.94,3680705.37,24
617703.94,3679705.37,25
617703.94,3678705.37,26
617703.94,3677705.37,27
617703.94,3676705.37,28
617703.94,3675705.37,29
617703.94,3674705.37,30
617703.94,3673705.37,31
617703.94,3672705.37,32
617703.94,3671705.37,33
617703.94,3670705.37,34
617703.94,3669705.37,35
617703.94,3668705.37,36
617703.94,3667705.37,37
617703.94,3666705.37,38
617703.94,3665705.37,39
617703.94,3664705.37,40
617703.94,3663705.37,41
617703.94,3662705.37,42
617703.94,3661705.37,43
617703.94,3660705.37,44
617703.94,3659705.37,45
617703.94,3658705.37,46
617703.94,3657705.37,47
617703.94,3656705.37,48
617703.94,3655705.37,49
617703.94,3654705.37,50
617703.94,3653705.37,51
617703.94,3652705.37,52
617703.94,3651705.37,53
617703.94,3650705.37,54
617703.94,3649705.37,55
617703.94,3648705.37,56
617703.94,3647705.37,57
617703.94,3646705.37,58
617703.94,3645705.37,59
617703.94,3644705.37,60
617703.94,3643705.37,61
617703.94,3642705.37,62
617703.94,3641705.37,63
617703.94,3640705.37,64
617703.94,3639705.37,65
617703.94,3638705.37,66
617703.94,3637705.37,67
617703.94,3636705.37,68
617703.94,3635705.37,69
617703.94,3634705.37,70
617703.94,3633705.37,71
617703.94,3632705.37,72
617703.94,3631705.37,73
617703.94,3630705.37,74
617703.94,3629705.37,75
617703.94,3628705.37,76
617703.94,3627705.37,77
617703.94,3626705.37,78
617703.94,3625705.37,79
617703.94,3624705.37,80
617703.94,3623705.37,81
617703.94,3622705.37,82
617703.94,3621705.37,83
617703.94,3620705.37,84
617703.94,3619705.37,85
617703.94,3618705.37,86
617703.94,3617705.37,87
617703.94,3616705.37,88
617703.94,3615705.37,89
617703.94,3614705.37,90
617703.94,3613705.37,91
617703.94,3612705.37,92
617703.94,3611705.37,93
617703.94,3610705.37,94
617703.94,3609705.37,95
617703.94,3608705.37,96
617703.94,3607705.37,97
617703.94,3606705.37,98
617703.94,3605705.37,99
617703.94,3604705.37,100
617703.94,3603705.37,101
617703.94,3602705.37,102
617703.94,3601705.37,103
617703.94,3600705.37,104
617703.94,3599705.37,105
617703.94,3598705.37,106
617703.94,3597705.37,107
617703.94,3596705.37,108
617703.94,3595705.37,109
617703.94,3594705.37,110
617703.94,3593705.37,111
617703.94,3592705.37,112
617703.94,3591705.37,113
617703.94,3590705.37,114
617703.94,3589705.37,115
617703.94,3588705.37,116
617703.94,3587705.37,117
617703.94,3586705.37,118
617703.94,3585705.37,119
617703.94,3584705.37,120
617703.94,3583705.37,121
617703.94,3582705.37,122
617703.94,3581705.37,123
617703.94,3580705.37,124
617703.94,3579705.37,125
617703.94,3578705.37,126
617703.94,3577705.37,127
617703.94,3576705.37,128
617703.94,3575705.37,129
617703.94,3574705.37,130
617703.94,3573705.37,131
617703.94,3572705.37,132
617703.94,3571705.37,133
617703.94,3570705.37,134
617703.94,3569705.37,135
617703.94,3568705.37,136
617703.94,3567705.37,137
617703.94,3566705.37,138
617703.94,3565705.37,139
617703.94,3564705.37,140
617703.94,3563705.37,141
617703.94,3562705.37,142
617703.94,3561705.37,143
617703.94,3560705.37,144
617703.94,3559705.37,145
617703.94,3558705.37,146
617703.94,3557705.37,147
617703.94,3556705.37,148
617703.94,3555705.37,149
617703.94,3554705.37,150
617703.94,3553705.37,151
617703.94,3552705.37,152
617703.94,3551705.37,153
617703.94,3550705.37,154
617703.94,3549705.37,155
617703.94,3548705.37,156
617703.94,3547705.37,157
617703.94,3546705.37,158
617703.94,3545705.37,159
617703.94,3544705.37,160
617703.94,3543705.37,161
617703.94,3542705.37,162
617703.94,3541705.37,163
617703.94,3540705.37,164
617703.94,3539705.37,165
617703.94,3538705.37,166
617703.94,3537705.37,167
617703.94,3536705.37,168
617703.94,3535705.37,169
617703.94,3534705.37,170
617703.94,3533705.37,171
617703.94,3532705.37,172
617703.94,3531705.37,173
617703.94,3530705.37,174
617703.94,3529705.37,175
617703.94,3528705.37,176
617703.94,3527705.37,177
617703.94,3526705.37,178
617703.94,3525705.37,179
617703.94,3524705.37,180
617703.94,3523705.37,181
617703.94,3522705.37,182
617703.94,3521705.37,183
617703.94,3520705.37,184
617703.94,3519705.37,185
617703.94,3518705.37,186
617703.94,3517705.37,187
617703.94,3516705.37,188
617703.94,3515705.37,189
617703.94,3514705.37,190
617703.94,3513705.37,191
617703.94,3512705.37,192
617703.94,3511705.37,193
617703.94,3510705.37,194
617703.94,3509705.37,195
617703.94,3508705.37,196
617703.94,3507705.37,197
