X,Y,FID
627916.992539751,3687239.07425654,0
627916.992539751,3677239.07425654,1
627916.992539751,3667239.07425654,2
627916.992539751,3657239.07425654,3
627916.992539751,3647239.07425654,4
627916.992539751,3637239.07425654,5
627916.992539751,3627239.07425654,6
627916.992539751,3617239.07425654,7
627916.992539751,3607239.07425654,8
627916.992539751,3597239.07425654,9
627916.992539751,3587239.07425654,10
627916.992539751,3577239.07425654,11
627916.992539751,3567239.07425654,12
627916.992539751,3557239.07425654,13
627916.992539751,3547239.07425654,14
627916.992539751,3537239.07425654,15
627916.992539751,3527239.07425654,16
627916.992539751,3517239.07425654,17
627916.992539751,3507239.07425654,18
627916.992539751,3497239.07425654,19
627916.992539751,3487239.07425654,20
627916.992539751,3477239.07425654,21
627916.992539751,3467239.07425654,22
627916.992539751,3457239.07425654,23
627916.992539751,3447239.07425654,24
627916.992539751,3437239.07425654,25
627916.992539751,3427239.07425654,26
627916.992539751,3417239.07425654,27
627916.992539751,3407239.07425654,28
627916.992539751,3397239.07425654,29
627916.992539751,3387239.07425654,30
627916.992539751,3377239.07425654,31
627916.992539751,3367239.07425654,32
627916.992539751,3357239.07425654,33
627916.992539751,3347239.07425654,34
627916.992539751,3337239.07425654,35
627916.992539751,3327239.07425654,36
627916.992539751,3317239.07425654,37
627916.992539751,3307239.07425654,38
627916.992539751,3297239.07425654,39
627916.992539751,3287239.07425654,40
627916.992539751,3277239.07425654,41
627916.992539751,3267239.07425654,42
627916.992539751,3257239.07425654,43
637916.992539751,3687239.07425654,44
637916.992539751,3677239.07425654,45
637916.992539751,3667239.07425654,46
637916.992539751,3657239.07425654,47
637916.992539751,3647239.07425654,48
637916.992539751,3637239.07425654,49
637916.992539751,3627239.07425654,50
637916.992539751,3617239.07425654,51
637916.992539751,3607239.07425654,52
637916.992539751,3597239.07425654,53
637916.992539751,3587239.07425654,54
637916.992539751,3577239.07425654,55
637916.992539751,3567239.07425654,56
637916.992539751,3557239.07425654,57
637916.992539751,3547239.07425654,58
637916.992539751,3537239.07425654,59
637916.992539751,3527239.07425654,60
637916.992539751,3517239.07425654,61
637916.992539751,3507239.07425654,62
637916.992539751,3497239.07425654,63
637916.992539751,3487239.07425654,64
637916.992539751,3477239.07425654,65
637916.992539751,3467239.07425654,66
637916.992539751,3457239.07425654,67
637916.992539751,3447239.07425654,68
637916.992539751,3437239.07425654,69
637916.992539751,3427239.07425654,70
637916.992539751,3417239.07425654,71
637916.992539751,3407239.07425654,72
637916.992539751,3397239.07425654,73
637916.992539751,3387239.07425654,74
637916.992539751,3377239.07425654,75
637916.992539751,3367239.07425654,76
637916.992539751,3357239.07425654,77
637916.992539751,3347239.07425654,78
637916.992539751,3337239.07425654,79
637916.992539751,3327239.07425654,80
637916.992539751,3317239.07425654,81
637916.992539751,3307239.07425654,82
637916.992539751,3297239.07425654,83
637916.992539751,3287239.07425654,84
637916.992539751,3277239.07425654,85
637916.992539751,3267239.07425654,86
637916.992539751,3257239.07425654,87
647916.992539751,3687239.07425654,88
647916.992539751,3677239.07425654,89
647916.992539751,3667239.07425654,90
647916.992539751,3657239.07425654,91
647916.992539751,3647239.07425654,92
647916.992539751,3637239.07425654,93
647916.992539751,3627239.07425654,94
647916.992539751,3617239.07425654,95
647916.992539751,3607239.07425654,96
647916.992539751,3597239.07425654,97
647916.992539751,3587239.07425654,98
647916.992539751,3577239.07425654,99
647916.992539751,3567239.07425654,100
647916.992539751,3557239.07425654,101
647916.992539751,3547239.07425654,102
647916.992539751,3537239.07425654,103
647916.992539751,3527239.07425654,104
647916.992539751,3517239.07425654,105
647916.992539751,3507239.07425654,106
647916.992539751,3497239.07425654,107
647916.992539751,3487239.07425654,108
647916.992539751,3477239.07425654,109
647916.992539751,3467239.07425654,110
647916.992539751,3457239.07425654,111
647916.992539751,3447239.07425654,112
647916.992539751,3437239.07425654,113
647916.992539751,3427239.07425654,114
647916.992539751,3417239.07425654,115
647916.992539751,3407239.07425654,116
647916.992539751,3397239.07425654,117
647916.992539751,3387239.07425654,118
647916.992539751,3377239.07425654,119
647916.992539751,3367239.07425654,120
647916.992539751,3357239.07425654,121
647916.992539751,3347239.07425654,122
647916.992539751,3337239.07425654,123
647916.992539751,3327239.07425654,124
647916.992539751,3317239.07425654,125
647916.992539751,3307239.07425654,126
647916.992539751,3297239.07425654,127
647916.992539751,3287239.07425654,128
647916.992539751,3277239.07425654,129
647916.992539751,3267239.07425654,130
647916.992539751,3257239.07425654,131
657916.992539751,3687239.07425654,132
657916.992539751,3677239.07425654,133
657916.992539751,3667239.07425654,134
657916.992539751,3657239.07425654,135
657916.992539751,3647239.07425654,136
657916.992539751,3637239.07425654,137
657916.992539751,3627239.07425654,138
657916.992539751,3617239.07425654,139
657916.992539751,3607239.07425654,140
657916.992539751,3597239.07425654,141
657916.992539751,3587239.07425654,142
657916.992539751,3577239.07425654,143
657916.992539751,3567239.07425654,144
657916.992539751,3557239.07425654,145
657916.992539751,3547239.07425654,146
657916.992539751,3537239.07425654,147
657916.992539751,3527239.07425654,148
657916.992539751,3517239.07425654,149
657916.992539751,3507239.07425654,150
657916.992539751,3497239.07425654,151
657916.992539751,3487239.07425654,152
657916.992539751,3477239.07425654,153
657916.992539751,3467239.07425654,154
657916.992539751,3457239.07425654,155
657916.992539751,3447239.07425654,156
657916.992539751,3437239.07425654,157
657916.992539751,3427239.07425654,158
657916.992539751,3417239.07425654,159
657916.992539751,3407239.07425654,160
657916.992539751,3397239.07425654,161
657916.992539751,3387239.07425654,162
657916.992539751,3377239.07425654,163
657916.992539751,3367239.07425654,164
657916.992539751,3357239.07425654,165
657916.992539751,3347239.07425654,166
657916.992539751,3337239.07425654,167
657916.992539751,3327239.07425654,168
657916.992539751,3317239.07425654,169
657916.992539751,3307239.07425654,170
657916.992539751,3297239.07425654,171
657916.992539751,3287239.07425654,172
657916.992539751,3277239.07425654,173
657916.992539751,3267239.07425654,174
657916.992539751,3257239.07425654,175
667916.992539751,3687239.07425654,176
667916.992539751,3677239.07425654,177
667916.992539751,3667239.07425654,178
667916.992539751,3657239.07425654,179
667916.992539751,3647239.07425654,180
667916.992539751,3637239.07425654,181
