Lat,Long,index
30.049,35.158,882
30.229,35.21,930
30.32,35.262,977
30.5,35.314,1025
31.582,35.421,1129
31.672,35.474,1176
31.852,35.527,1224
31.943,35.527,1225
32.033,35.528,1226
33.295,35.532,1240
32.123,35.581,1273
32.213,35.581,1274
32.303,35.582,1275
32.393,35.582,1276
32.484,35.582,1277
32.574,35.583,1278
32.664,35.583,1279
32.754,35.584,1280
32.844,35.584,1281
32.934,35.584,1282
33.025,35.585,1283
33.115,35.585,1284
33.205,35.585,1285
33.295,35.586,1286
33.385,35.586,1287
32.664,35.637,1325
32.754,35.637,1326
32.844,35.637,1327
32.934,35.638,1328
33.024,35.638,1329
